25_r1	25_r2	25_r3	25_r4	37_5_r1	37_5_r2	37_5_r3	37_5_r4	37_10_r1	37_10_r2	37_10_r3	37_10_r4	37_30_r1	37_30_r2	37_30_r3	37_30_r4	42_5_r1	42_5_r2	42_5_r3	42_5_r4	42_10_r1	42_10_r2	42_10_r3	42_10_r4	42_30_r1	42_30_r2	42_30_r3	42_30_r4
YDL248W	908	859	1858	866	1192	927	1490	1812	1209	966	1412	1185	1322	774	1540	1468	1316	1202	1512	702	1007	1030	809	1040	810	1322	1016	1530
YDL247W-A	752	735	1972	852	1219	974	1606	2453	1280	1001	1391	1036	1303	757	1470	1586	1461	1200	1633	780	1077	1077	1005	1193	906	1296	1296	1626
YDL247W	1302	1280	2640	1446	1752	1380	2129	2771	1818	1491	1816	1784	1743	1126	2276	2225	1967	1605	2164	1053	1436	1533	1155	1625	1249	1709	1426	2059
YDL246C	1192	1178	2369	1296	1763	1451	2042	2519	1926	1662	1772	1842	1696	1100	2046	2168	2116	1543	2102	943	1514	1548	1147	1620	1221	1756	1341	1969
YDL245C	1277	1355	2431	1311	1859	1431	2242	2813	2030	1553	1902	1827	1934	1119	2230	2391	1987	1608	2117	1002	1475	1420	1289	1508	1344	1771	1331	1915
YDL244W	1001	1017	2166	958	1607	1212	1738	2430	1596	1257	1517	1439	1587	1028	1811	1793	1734	1339	1905	833	1309	1419	933	1337	1118	1631	1239	1856
YDL243C	907	924	2003	953	1282	1111	1641	2167	1397	1109	1320	1244	1357	850	1584	1502	1610	1277	1760	752	1225	1259	952	1181	1120	1456	1209	1679
YDL242W	907	913	1988	939	1276	1099	1635	2147	1396	1099	1314	1236	1347	846	1557	1482	1608	1265	1736	744	1217	1251	943	1171	1116	1454	1202	1660
YDL241W	1043	1223	1695	1101	1391	1213	1557	1844	1376	1111	1260	1500	1471	793	1630	1411	1487	1237	1716	761	1200	1283	892	1421	971	1442	967	1809
YDL240C-A	1074	1094	2066	1040	1469	1291	1766	2168	1600	1348	1522	1519	1516	880	1803	1727	1809	1337	1808	825	1346	1435	1079	1381	1136	1686	1126	1841
YDL240W	1270	1229	2400	1265	1630	1456	1997	2368	1802	1573	1700	1727	1706	1030	2026	2018	1981	1553	1962	944	1594	1661	1288	1628	1265	1827	1232	2070
YDL239C	1173	1151	2796	1125	1719	1470	2187	3009	1801	1579	1862	1480	1885	1020	2132	2424	2240	1521	2225	942	1573	1711	1252	1608	1505	1938	1595	2054
YDL238C	952	997	1999	963	1366	1206	1702	2190	1443	1187	1375	1351	1492	821	1649	1638	1556	1224	1701	829	1142	1257	987	1263	1073	1585	1035	1803
YDL237W	964	1021	2097	979	1442	1261	1727	2186	1460	1246	1362	1365	1510	823	1697	1657	1560	1285	1721	832	1243	1336	978	1303	1193	1564	1060	1766
YDL236W	1199	1315	2380	1297	1786	1608	2027	2492	1906	1510	1675	1765	1824	1075	2088	2118	1950	1527	2040	976	1540	1516	1163	1690	1218	1804	1191	1977
YDL235C	907	961	1522	893	1294	1126	1447	1587	1374	1052	1186	1262	1398	830	1478	1392	1436	1139	1508	712	1157	1240	856	1097	1030	1434	885	1652
YDL234C	1681	1631	3211	1701	2443	1878	2714	3441	2405	1951	2190	2350	2221	1361	2598	2813	2717	2077	2894	1280	2163	2087	1421	2066	1496	2222	1722	2455
YDL233W	1585	1557	3033	1578	2301	1787	2557	3345	2323	1869	2093	2235	2143	1343	2501	2702	2577	1979	2749	1246	2032	1980	1334	1987	1385	2148	1674	2432
YDL232W	1363	1489	2757	1422	2080	1617	2359	3005	1978	1754	1919	1850	1969	1153	2370	2442	2411	1782	2363	1074	1768	1763	1252	1856	1570	1985	1486	2139
YDL231C	1866	2020	3077	1922	2568	2281	2681	3049	2459	2243	2166	2821	2484	1373	2605	2778	2673	2218	2548	1271	2040	2092	1373	2260	1616	2153	1518	2432
