#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HSC82	SSA1	4932.YMR186W	4932.YAL005C	0	0.002	0	0	0.913	0.791	0.500	0.919	0.999
HSC82	SSA3	4932.YMR186W	4932.YBL075C	0	0.002	0	0	0.443	0.472	0.500	0.731	0.955
HSC82	SSA4	4932.YMR186W	4932.YER103W	0	0.002	0	0	0.501	0.487	0.500	0.784	0.968
HSC82	HSF1	4932.YMR186W	4932.YGL073W	0	0	0	0	0	0.764	0.500	0.935	0.991
HSC82	MSN4	4932.YMR186W	4932.YKL062W	0	0	0	0	0	0.122	0	0.386	0.437
HSC82	SSA2	4932.YMR186W	4932.YLL024C	0	0.002	0	0	0.766	0.719	0.400	0.818	0.991
HSC82	HSP104	4932.YMR186W	4932.YLL026W	0.101	0	0	0	0.588	0.239	0	0.937	0.980
HSC82	MSN2	4932.YMR186W	4932.YMR037C	0	0	0	0	0.117	0.122	0	0.373	0.471
HSC82	HSP82	4932.YMR186W	4932.YPL240C	0	0	0.047	0.987	0.642	0.998	0.900	0.052	0.999
HSF1	SSA1	4932.YGL073W	4932.YAL005C	0	0	0	0	0.045	0.881	0.500	0.875	0.992
HSF1	SSA3	4932.YGL073W	4932.YBL075C	0	0	0	0	0.064	0.492	0.500	0.657	0.907
HSF1	SSA4	4932.YGL073W	4932.YER103W	0	0	0	0	0.057	0.492	0.500	0.602	0.892
HSF1	HSP104	4932.YGL073W	4932.YLL026W	0	0	0	0	0.090	0.162	0	0.861	0.885
HSF1	YAP1	4932.YGL073W	4932.YML007W	0	0	0	0	0.120	0.092	0	0.872	0.889
HSF1	MSN4	4932.YGL073W	4932.YKL062W	0	0	0	0	0.051	0.264	0	0.880	0.909
HSF1	MSN2	4932.YGL073W	4932.YMR037C	0	0	0	0	0.051	0.461	0	0.910	0.950
HSF1	SSA2	4932.YGL073W	4932.YLL024C	0	0	0	0	0	0.805	0.500	0.745	0.973
HSF1	HSP82	4932.YGL073W	4932.YPL240C	0	0	0	0	0.073	0.471	0.500	0.936	0.982
HSF1	HSC82	4932.YGL073W	4932.YMR186W	0	0	0	0	0	0.764	0.500	0.935	0.991
HSP104	SSA1	4932.YLL026W	4932.YAL005C	0.058	0	0	0	0.726	0.881	0	0.970	0.998
HSP104	SSA3	4932.YLL026W	4932.YBL075C	0.058	0	0	0	0.488	0.326	0	0.860	0.948
HSP104	SSA4	4932.YLL026W	4932.YER103W	0.058	0	0	0	0.813	0.326	0	0.918	0.989
HSP104	HSF1	4932.YLL026W	4932.YGL073W	0	0	0	0	0.090	0.162	0	0.861	0.885
HSP104	MSN4	4932.YLL026W	4932.YKL062W	0	0	0	0	0.070	0.044	0	0.601	0.614
HSP104	SSA2	4932.YLL026W	4932.YLL024C	0.058	0	0	0	0.476	0.348	0	0.895	0.962
HSP104	YAP1	4932.YLL026W	4932.YML007W	0	0	0	0	0.081	0.070	0	0.476	0.513
HSP104	MSN2	4932.YLL026W	4932.YMR037C	0	0	0	0	0	0.227	0	0.610	0.686
HSP104	HSC82	4932.YLL026W	4932.YMR186W	0.101	0	0	0	0.588	0.239	0	0.937	0.980
HSP104	HSP82	4932.YLL026W	4932.YPL240C	0.101	0	0	0	0.820	0.441	0	0.957	0.995
HSP82	SSA1	4932.YPL240C	4932.YAL005C	0	0.002	0	0	0.774	0.909	0.500	0.922	0.999
HSP82	SSA3	4932.YPL240C	4932.YBL075C	0	0.002	0	0	0.477	0.610	0.500	0.782	0.974
HSP82	SSA4	4932.YPL240C	4932.YER103W	0	0.002	0	0	0.690	0.740	0.500	0.850	0.993
HSP82	HSF1	4932.YPL240C	4932.YGL073W	0	0	0	0	0.073	0.471	0.500	0.936	0.982
HSP82	MSN4	4932.YPL240C	4932.YKL062W	0	0	0	0	0	0.236	0	0.459	0.569
HSP82	SSA2	4932.YPL240C	4932.YLL024C	0	0.002	0	0	0.543	0.880	0.400	0.820	0.993
HSP82	HSP104	4932.YPL240C	4932.YLL026W	0.101	0	0	0	0.820	0.441	0	0.957	0.995
HSP82	YAP1	4932.YPL240C	4932.YML007W	0	0	0	0	0.081	0	0	0.384	0.409
HSP82	MSN2	4932.YPL240C	4932.YMR037C	0	0	0	0	0	0.241	0	0.488	0.595
HSP82	HSC82	4932.YPL240C	4932.YMR186W	0	0	0.047	0.987	0.642	0.998	0.900	0.052	0.999
MSN2	SSA1	4932.YMR037C	4932.YAL005C	0	0	0	0	0.099	0.212	0	0.391	0.530
MSN2	SSA3	4932.YMR037C	4932.YBL075C	0	0	0	0	0	0.188	0	0.539	0.610
MSN2	SSA4	4932.YMR037C	4932.YER103W	0	0	0	0	0.061	0.188	0	0.511	0.594
MSN2	HSF1	4932.YMR037C	4932.YGL073W	0	0	0	0	0.051	0.461	0	0.910	0.950
MSN2	MSN4	4932.YMR037C	4932.YKL062W	0	0	0	0.702	0.124	0.945	0.900	0.936	0.999
MSN2	HSP104	4932.YMR037C	4932.YLL026W	0	0	0	0	0	0.227	0	0.610	0.686
MSN2	YAP1	4932.YMR037C	4932.YML007W	0	0	0	0	0.066	0.224	0	0.908	0.927
MSN2	HSC82	4932.YMR037C	4932.YMR186W	0	0	0	0	0.117	0.122	0	0.373	0.471
MSN2	HSP82	4932.YMR037C	4932.YPL240C	0	0	0	0	0	0.241	0	0.488	0.595
MSN4	SSA1	4932.YKL062W	4932.YAL005C	0	0	0	0	0.052	0.290	0	0.291	0.481
MSN4	SSA3	4932.YKL062W	4932.YBL075C	0	0	0	0	0	0.212	0	0.392	0.500
MSN4	SSA4	4932.YKL062W	4932.YER103W	0	0	0	0	0.066	0.188	0	0.474	0.566
MSN4	HSF1	4932.YKL062W	4932.YGL073W	0	0	0	0	0.051	0.264	0	0.880	0.909
MSN4	HSC82	4932.YKL062W	4932.YMR186W	0	0	0	0	0	0.122	0	0.386	0.437
MSN4	HSP82	4932.YKL062W	4932.YPL240C	0	0	0	0	0	0.236	0	0.459	0.569
MSN4	HSP104	4932.YKL062W	4932.YLL026W	0	0	0	0	0.070	0.044	0	0.601	0.614
MSN4	YAP1	4932.YKL062W	4932.YML007W	0	0	0	0	0.044	0	0	0.903	0.903
MSN4	MSN2	4932.YKL062W	4932.YMR037C	0	0	0	0.702	0.124	0.945	0.900	0.936	0.999
SSA1	YAP1	4932.YAL005C	4932.YML007W	0	0	0	0	0.065	0.123	0	0.341	0.413
SSA1	MSN4	4932.YAL005C	4932.YKL062W	0	0	0	0	0.052	0.290	0	0.291	0.481
SSA1	MSN2	4932.YAL005C	4932.YMR037C	0	0	0	0	0.099	0.212	0	0.391	0.530
SSA1	SSA3	4932.YAL005C	4932.YBL075C	0	0	0.050	0.981	0.094	0.688	0.400	0.059	0.820
SSA1	SSA4	4932.YAL005C	4932.YER103W	0	0	0.050	0.981	0.380	0.605	0.400	0.383	0.898
SSA1	HSF1	4932.YAL005C	4932.YGL073W	0	0	0	0	0.045	0.881	0.500	0.875	0.992
SSA1	SSA2	4932.YAL005C	4932.YLL024C	0	0	0.047	0.987	0.575	0.977	0.400	0.382	0.995
SSA1	HSP104	4932.YAL005C	4932.YLL026W	0.058	0	0	0	0.726	0.881	0	0.970	0.998
SSA1	HSP82	4932.YAL005C	4932.YPL240C	0	0.002	0	0	0.774	0.909	0.500	0.922	0.999
SSA1	HSC82	4932.YAL005C	4932.YMR186W	0	0.002	0	0	0.913	0.791	0.500	0.919	0.999
SSA2	SSA1	4932.YLL024C	4932.YAL005C	0	0	0.047	0.987	0.575	0.977	0.400	0.382	0.995
SSA2	SSA3	4932.YLL024C	4932.YBL075C	0	0	0.050	0.981	0.066	0.604	0.400	0.059	0.765
SSA2	SSA4	4932.YLL024C	4932.YER103W	0	0	0.050	0.981	0.110	0.611	0.400	0.059	0.780
SSA2	HSF1	4932.YLL024C	4932.YGL073W	0	0	0	0	0	0.805	0.500	0.745	0.973
SSA2	HSP104	4932.YLL024C	4932.YLL026W	0.058	0	0	0	0.476	0.348	0	0.895	0.962
SSA2	HSC82	4932.YLL024C	4932.YMR186W	0	0.002	0	0	0.766	0.719	0.400	0.818	0.991
SSA2	HSP82	4932.YLL024C	4932.YPL240C	0	0.002	0	0	0.543	0.880	0.400	0.820	0.993
SSA3	SSA1	4932.YBL075C	4932.YAL005C	0	0	0.050	0.981	0.094	0.688	0.400	0.059	0.820
SSA3	MSN4	4932.YBL075C	4932.YKL062W	0	0	0	0	0	0.212	0	0.392	0.500
SSA3	MSN2	4932.YBL075C	4932.YMR037C	0	0	0	0	0	0.188	0	0.539	0.610
SSA3	SSA2	4932.YBL075C	4932.YLL024C	0	0	0.050	0.981	0.066	0.604	0.400	0.059	0.765
SSA3	HSF1	4932.YBL075C	4932.YGL073W	0	0	0	0	0.064	0.492	0.500	0.657	0.907
SSA3	HSP104	4932.YBL075C	4932.YLL026W	0.058	0	0	0	0.488	0.326	0	0.860	0.948
SSA3	HSC82	4932.YBL075C	4932.YMR186W	0	0.002	0	0	0.443	0.472	0.500	0.731	0.955
SSA3	HSP82	4932.YBL075C	4932.YPL240C	0	0.002	0	0	0.477	0.610	0.500	0.782	0.974
SSA3	SSA4	4932.YBL075C	4932.YER103W	0	0	0.048	0.984	0.379	0.994	0.400	0.384	0.998
SSA4	SSA1	4932.YER103W	4932.YAL005C	0	0	0.050	0.981	0.380	0.605	0.400	0.383	0.898
SSA4	SSA3	4932.YER103W	4932.YBL075C	0	0	0.048	0.984	0.379	0.994	0.400	0.384	0.998
SSA4	MSN4	4932.YER103W	4932.YKL062W	0	0	0	0	0.066	0.188	0	0.474	0.566
SSA4	MSN2	4932.YER103W	4932.YMR037C	0	0	0	0	0.061	0.188	0	0.511	0.594
